City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
0,tiksi,71.6872,128.8694,2.08,86,99,2.8,RU,2024-08-27 19:42:13
1,port saint john's,-31.6229,29.5448,21.18,57,0,8.51,ZA,2024-08-27 19:42:14
2,punta arenas,-53.15,-70.9167,8.06,61,75,9.77,CL,2024-08-27 19:37:34
3,wailua homesteads,22.0669,-159.378,27.44,74,75,5.66,US,2024-08-27 19:42:16
4,blackmans bay,-43.0167,147.3167,8.07,89,99,0.89,AU,2024-08-27 19:42:18
5,grytviken,-54.2811,-36.5092,3.25,83,87,4.61,GS,2024-08-27 19:42:19
6,whitehorse,60.7161,-135.0538,13.43,53,75,4.63,CA,2024-08-27 19:42:20
7,edinburgh of the seven seas,-37.0676,-12.3116,11.47,72,100,11.12,SH,2024-08-27 19:40:22
8,yellowknife,62.456,-114.3525,19.12,82,75,2.57,CA,2024-08-27 19:40:39
9,albany,42.6001,-73.9662,30.51,54,2,0.45,US,2024-08-27 19:38:46
10,margaret river,-33.95,115.0667,13.33,69,100,4.6,AU,2024-08-27 19:42:13
11,thompson,55.7435,-97.8558,19.09,39,40,1.54,CA,2024-08-27 19:38:27
12,vilyuysk,63.7553,121.6247,5.86,61,100,2.09,RU,2024-08-27 19:42:27
13,waitangi,-43.9535,-176.5597,12.12,98,100,4.02,NZ,2024-08-27 19:42:28
14,bredasdorp,-34.5322,20.0403,6.91,84,42,12.06,ZA,2024-08-27 19:40:35
15,puerto ayora,-0.7393,-90.3518,20.86,90,68,3.13,EC,2024-08-27 19:42:31
16,anadyr,64.75,177.4833,10.0,81,0,2.68,RU,2024-08-27 19:42:32
17,port elizabeth,-33.918,25.5701,13.16,95,75,13.89,ZA,2024-08-27 19:40:43
18,invercargill,-46.4,168.35,6.68,97,68,0.89,NZ,2024-08-27 19:37:35
19,adamstown,-25.066,-130.1015,19.52,70,100,7.74,PN,2024-08-27 19:42:36
20,namtsy,62.7161,129.6658,5.26,91,100,0.62,RU,2024-08-27 19:42:37
21,port mathurin,-19.6833,63.4167,21.14,66,99,13.36,MU,2024-08-27 19:42:38
